date,takli,sarati,khamgaon,phulgaon,narsingpur
6/1/2001,0,0,0,0,2.269999981
6/2/2001,0,0,0,0,1.955000043
6/3/2001,0,0,0,0,0
6/4/2001,0,0,0,0,0
6/5/2001,0,0,0,0,0
6/6/2001,0,0,0,0,0
6/7/2001,0,0,0,0,1.603999972
6/8/2001,0,0,0,0,3.075000048
6/9/2001,0,0,0,0,2.132999897
6/10/2001,0,0,0,0,2
6/11/2001,0,0,0,0,2.109999895
6/12/2001,0,0,0,0,1.465999961
6/13/2001,0,0,0,0,0
6/14/2001,0,0,0,0,0
6/15/2001,0,0,0,0,0
6/16/2001,0,0,0,0,0
6/17/2001,0,0,0,0,0
6/18/2001,0,0,0,0,0
6/19/2001,0,0,0,0,0
6/20/2001,0,0,45.44340134,0,0
6/21/2001,0,0,42.22090149,0,0
6/22/2001,0,0,33.81689835,0,0
6/23/2001,0,0,26.91570091,0,0
6/24/2001,0,0,24.47920036,0,0
6/25/2001,0,0,22.54310036,0,0
6/26/2001,0,0,16.83550072,0,0
6/27/2001,0,0,12.85809994,0,69.30000305
6/28/2001,0,0,12.85809994,0,76.72000122
6/29/2001,0,0,12.85809994,0,53.65999985
6/30/2001,0,0,24.45689964,0,61.56000137
7/1/2001,0,0,36.39630127,0,50
7/2/2001,0,0,29.46990013,0,17.47999954
7/3/2001,0,0,28.9946003,0,9.145000458
7/4/2001,0,0,31.96500015,0,2.693000078
7/5/2001,0,0,106.2679977,273.5,0.986000001
7/6/2001,0,0,94.63829803,165.6000061,0
7/7/2001,0,0,74.82450104,128.5,0
7/8/2001,0,0,72.2960968,85,0
7/9/2001,0,0,94.58080292,139.8999939,0
7/10/2001,0,0,378.7550049,357.3999939,0
7/11/2001,0,0,232.9929962,258.7999878,0
7/12/2001,0,0,143.3040009,220.8000031,0
7/13/2001,0,0,106.6009979,179,0
7/14/2001,0,0,113.3199997,175.1000061,0
7/15/2001,0,0,97.19259644,162,0
7/16/2001,0,0,96.27390289,180.8000031,0
7/17/2001,0,0,104.7630005,147.1999969,0
7/18/2001,0,0,95.84780121,124,0
7/19/2001,0,78.93000031,84.41549683,117.3000031,114.3000031
7/20/2001,0,14.39999962,89.69830322,165.6000061,16.26000023
7/21/2001,0,5.25,83.1536026,184.8000031,4.199999809
7/22/2001,0,0,77.24569702,160,1.799999952
7/23/2001,0,0,75.53230286,152,0
7/24/2001,0,16.22999954,126.8679962,172.8999939,19.60000038
7/25/2001,0,4.427000046,122.5849991,183.8999939,4.460000038
7/26/2001,0,1.42900002,99.38240051,133.3999939,2.733999968
7/27/2001,0,7.874000072,91.22329712,119.3000031,0
7/28/2001,0,7.691999912,75.72160339,61.09999847,4.980999947
7/29/2001,0,5,69.09790039,66,3.200000048
7/30/2001,0,0,64.33679962,54.08000183,1
7/31/2001,0,0,62.17760086,57.75,1.151000023
8/1/2001,0,0,61.4469986,50.56000137,224.1000061
8/2/2001,0,0,51.19720078,38.72999954,216.5
8/3/2001,0,0,50.00749969,22.29000092,94.41000366
8/4/2001,0,0,49.67089844,19.53000069,12.65999985
8/5/2001,0,0,44.89179993,21.5,6.400000095
8/6/2001,0,0,44.33010101,16.21999931,2.144000053
8/7/2001,0,0,47.61009979,22.30999947,1.65199995
8/8/2001,0,0,60.92110062,31.85000038,1.233999968
8/9/2001,0,0,62.17760086,42.27000046,1.279000044
8/10/2001,0,0,79.23090363,137,11.84000015
8/11/2001,0,0,113.7409973,148.8000031,10.21000004
8/12/2001,0,0,110.7659988,95,7
8/13/2001,0,0,84.85839844,56.02000046,3.569000006
8/14/2001,0,0,79.55410004,51.68999863,2.132999897
8/15/2001,0,0,121.6969986,66,1.899999976
8/16/2001,0,0,228.6660004,215.5,1.299999952
8/17/2001,0,0,352.526001,387.6000061,0.800000012
8/18/2001,0,0,333.1830139,346.7999878,0
8/19/2001,0,0,228.3289948,290,0
8/20/2001,0,0,130.5410004,114.6999969,0
8/21/2001,0,0,111.4660034,65.62999725,0
8/22/2001,0,0,88.26599884,85,0
8/23/2001,0,0,91.68389893,55.43999863,0
8/24/2001,0,0,87.30210114,59.56999969,0
8/25/2001,0,0,68.1289978,57.77000046,0
8/26/2001,0,0,62.17760086,50,0
8/27/2001,0,0,62.17760086,40.36000061,0
8/28/2001,0,0,61.4469986,37.58000183,347.6000061
8/29/2001,0,0,51.19720078,53.58000183,335.6000061
8/30/2001,0,0,55.55189896,45.06000137,163.8999939
8/31/2001,0,0,59.31930161,37.15000153,36.63999939
9/1/2001,146.3999939,0,57.73460007,24.38999939,9.729999542
9/2/2001,25.62999916,0,95.373703,17.5,3.200000048
9/3/2001,0,0,83.64859772,11.22000027,0.975000024
9/4/2001,0,0,61.91640091,12.13000011,0
9/5/2001,0,0,56.57440186,11.47000027,0
9/6/2001,0,0,55.60549927,0,0
9/7/2001,0,0,50.59680176,0,0
9/8/2001,0,0,49.01010132,0,0
9/9/2001,0,0,35.06539917,0,0
9/10/2001,0,0,29.46990013,0,0
9/11/2001,0,0,28.72540092,0,0
9/12/2001,0,0,24.92320061,0,0
9/13/2001,0,0,24.47920036,0,0
9/14/2001,0,0,24.47920036,0,0
9/15/2001,0,0,25.53860092,0,0
9/16/2001,0,0,41.88050079,0,0
9/17/2001,0,0,39.46229935,0,0
9/18/2001,53.29000092,0,43.97919846,0,0
9/19/2001,0,0,53.08380127,0,0
9/20/2001,0,0,61.54430008,0,0
9/21/2001,0,0,106.3130035,0,0
9/22/2001,0,0,102.598999,0,0
9/23/2001,27,0,88.71379852,0,0
9/24/2001,35.5,17.03700066,82.31950378,0,0
9/25/2001,0,13.65400028,65.24389648,0,0
9/26/2001,41.93999863,29.13299942,66.68370056,0,0
9/27/2001,50.06999969,142.2409973,78.35710144,0,84.95999908
9/28/2001,588.5,40.24599838,72.17790222,0,84.10900116
9/29/2001,425,44.47700119,68.65529633,0,80.26000214
9/30/2001,220,16,68.65529633,0,75
10/1/2001,135.1999969,8.118000031,63.64239883,0,12.90999985
10/2/2001,85,7.5,56.57440186,0,13
10/3/2001,61.02000046,3.562000036,55.60549927,0,5.642000198
10/4/2001,38.13000107,2.506999969,50.59680176,0,2.145999908
10/5/2001,0,1.340999961,50.34870148,0,2.084000111
10/6/2001,24.92000008,13.63000011,52.95869827,0,2.282999992
10/7/2001,84,16,56.98749924,0,12
10/8/2001,1412,24.77000046,112.6729965,0,55.36999893
10/9/2001,1660,99.26000214,168.2250061,0,137.5
10/10/2001,469.3999939,62.59000015,132.0879974,0,106.5
10/11/2001,392.3999939,52.75,108.3259964,0,92.58999634
10/12/2001,257.7000122,65.37000275,97.24369812,0,84.25
10/13/2001,269.5,113.9000015,91.58470154,0,137.6000061
10/14/2001,442,225,90.16999817,0,270
10/15/2001,552.5,78.37000275,82.938797,0,127.1999969
10/16/2001,396.2999878,65.69000244,82.94550323,0,84.36000061
10/17/2001,237.6999969,48.16999817,85.19989777,0,79.11000061
10/18/2001,188.1000061,28.68000031,78.74710083,0,53.49000168
10/19/2001,176.8000031,24.78000069,63.36159897,0,50.99000168
10/20/2001,153.6999969,24.06999969,49.26720047,0,48.61000061
10/21/2001,130,23,50.00749969,0,25
10/22/2001,86.81999969,20.59000015,49.67089844,0,20.04999924
10/23/2001,61.11999893,16.12999916,44.5719986,0,18.84000015
10/24/2001,44.13999939,15.73999977,39.46229935,0,15.47000027
10/25/2001,31,14.72999954,38.92829895,0,10.76000023
10/26/2001,0,8.5,39.23659897,0,11.19999981
10/27/2001,0,12.40999985,46.03760147,0,8.958000183
10/28/2001,0,2.799999952,45.21649933,0,7.099999905
10/29/2001,0,4.954999924,49.09199905,0,6.34499979
10/30/2001,0,4.65500021,45.07899857,0,3.183000088
10/31/2001,0,3.269000053,41.06600189,0,3.13499999
11/1/2001,0,0,,0,3.295000076
11/2/2001,0,0,,0,3.799999952
11/3/2001,0,0,,0,2.937999964
11/4/2001,0,0,,0,4
11/5/2001,0,0,,0,2.446000099
11/6/2001,0,0,,0,2.336999893
11/7/2001,0,0,,0,2.516000032
11/8/2001,0,0,,0,3.032000065
11/9/2001,0,0,,0,0
11/10/2001,0,0,,0,0
11/11/2001,0,0,,0,0
11/12/2001,0,0,,0,0
11/13/2001,0,0,,0,0
11/14/2001,0,0,,0,0
11/15/2001,0,0,,0,0
11/16/2001,0,0,,0,0
11/17/2001,0,0,,0,0
11/18/2001,0,0,,0,0
11/19/2001,0,0,,0,0
11/20/2001,0,0,,0,0
11/21/2001,0,0,,0,0
11/22/2001,0,0,,0,0
11/23/2001,0,0,,0,0
11/24/2001,0,0,,0,0
