Error of Modflow file
No,date,STORAGE_IN,CONSTANT_HEAD_IN,WELLS_IN,DRAINS_IN,RECHARGE_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,WELLS_OUT,DRAINS_OUT,RECHARGE_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
    1, 01/05/1995,      11544914.00000,             0.00000,             0.00000,             0.00000,        976638.68750,      12521553.00000,      -4763951.00000,            -0.00000,            -0.00000,      -7758904.50000,            -0.00000,     -12522856.00000,         -1303.00000,            -0.01000
    2, 02/05/1995,    2025300992.00000,             0.00000,             0.00000,             0.00000,       3391908.25000,    2028692864.00000,        -28229.25000,            -0.00000,   -2026025984.00000,      -2638693.75000,            -0.00000,   -2028692992.00000,          -128.00000,            -0.00000
    3, 03/05/1995,     456280960.00000,             0.00000,             0.00000,             0.00000,     113393944.00000,     569674880.00000,     -60268908.00000,            -0.00000,    -501459520.00000,      -7946699.50000,            -0.00000,    -569675136.00000,          -256.00000,            -0.00000
    4, 04/05/1995,     125339864.00000,             0.00000,             0.00000,             0.00000,      65476684.00000,     190816544.00000,     -46331824.00000,            -0.00000,    -136287728.00000,      -8197468.00000,            -0.00000,    -190817024.00000,          -480.00000,            -0.00000
    5, 05/05/1995,      58590900.00000,             0.00000,             0.00000,             0.00000,      33609120.00000,      92200016.00000,     -24685932.00000,            -0.00000,     -58547312.00000,      -8966838.00000,            -0.00000,     -92200088.00000,           -72.00000,            -0.00000
    6, 06/05/1995,      20772444.00000,             0.00000,             0.00000,             0.00000,      17071938.00000,      37844384.00000,     -18652980.00000,            -0.00000,     -11991725.00000,      -7199946.00000,            -0.00000,     -37844648.00000,          -264.00000,            -0.00000
    7, 07/05/1995,      15980024.00000,             0.00000,             0.00000,             0.00000,      10397722.00000,      26377746.00000,     -13277639.00000,            -0.00000,      -5835218.00000,      -7265683.00000,            -0.00000,     -26378540.00000,          -794.00000,            -0.00000
    8, 08/05/1995,      13535385.00000,             0.00000,             0.00000,             0.00000,       6733074.50000,      20268460.00000,     -11162573.00000,            -0.00000,      -2899596.50000,      -6206771.50000,            -0.00000,     -20268942.00000,          -482.00000,            -0.00000
    9, 09/05/1995,      30558252.00000,             0.00000,             0.00000,             0.00000,       6717866.00000,      37276120.00000,      -8298247.00000,            -0.00000,     -23189702.00000,      -5788539.50000,            -0.00000,     -37276488.00000,          -368.00000,            -0.00000
   10, 10/05/1995,     149753232.00000,             0.00000,             0.00000,             0.00000,      18372890.00000,     168126128.00000,      -7065250.00000,            -0.00000,    -154787296.00000,      -6274125.00000,            -0.00000,    -168126672.00000,          -544.00000,            -0.00000
