Error of Modflow file
No,date,STORAGE_IN,CONSTANT_HEAD_IN,DRAINS_IN,RECHARGE_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,DRAINS_OUT,RECHARGE_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
    1, 01/06/1995,    7565589504.00000,             0.00000,             0.00000,     138300816.00000,    7703890432.00000,    -134170144.00000,            -0.00000,   -7569909248.00000,            -0.00000,   -7704079360.00000,       -188928.00000,            -0.00000
    1, 01/06/1995,    3314149888.00000,             0.00000,             0.00000,     161617952.00000,    3475767808.00000,        -37128.79688,            -0.00000,   -3476150272.00000,            -0.00000,   -3476187392.00000,       -419584.00000,            -0.01000
    1, 01/06/1995,    2030460800.00000,             0.00000,             0.00000,     181827072.00000,    2212288000.00000,        -36950.98438,            -0.00000,   -2215878144.00000,            -0.00000,   -2215915008.00000,      -3627008.00000,            -0.16000
    1, 01/06/1995,    1444609280.00000,             0.00000,             0.00000,     201533616.00000,    1646142848.00000,        -47469.93750,            -0.00000,   -1646913408.00000,            -0.00000,   -1646960896.00000,       -818048.00000,            -0.05000
    1, 01/06/1995,    1120972544.00000,             0.00000,             0.00000,     218951536.00000,    1339924096.00000,       -520002.03125,            -0.00000,   -1353437056.00000,            -0.00000,   -1353957120.00000,     -14033024.00000,            -1.04000
    1, 01/06/1995,     924092608.00000,             0.00000,             0.00000,     227673568.00000,    1151766144.00000,       -444968.96875,            -0.00000,   -1151314688.00000,            -0.00000,   -1151759616.00000,          6528.00000,             0.00000
    1, 01/06/1995,     791965184.00000,             0.00000,             0.00000,     235519056.00000,    1027484224.00000,       -747882.18750,            -0.00000,   -1030868160.00000,            -0.00000,   -1031616064.00000,      -4131840.00000,            -0.40000
    1, 01/06/1995,     698791168.00000,             0.00000,             0.00000,     251573344.00000,     950364544.00000,      -2149787.50000,            -0.00000,    -948386112.00000,            -0.00000,    -950535872.00000,       -171328.00000,            -0.02000
    1, 01/06/1995,     631242176.00000,             0.00000,             0.00000,     253016000.00000,     884258176.00000,      -1080292.50000,            -0.00000,    -884280960.00000,            -0.00000,    -885361280.00000,      -1103104.00000,            -0.12000
    1, 01/06/1995,     575241472.00000,             0.00000,             0.00000,     269520096.00000,     844761600.00000,      -1571367.62500,            -0.00000,    -844572480.00000,            -0.00000,    -846143872.00000,      -1382272.00000,            -0.16000
    1, 01/06/1995,     530935616.00000,             0.00000,             0.00000,     267889200.00000,     798824832.00000,      -1566655.12500,            -0.00000,    -804777408.00000,            -0.00000,    -806344064.00000,      -7519232.00000,            -0.94000
    1, 01/06/1995,     495338144.00000,             0.00000,             0.00000,     276322016.00000,     771660160.00000,      -1749345.25000,            -0.00000,    -772914240.00000,            -0.00000,    -774663616.00000,      -3003456.00000,            -0.39000
    1, 01/06/1995,     465332544.00000,             0.00000,             0.00000,     270441280.00000,     735773824.00000,       -640049.00000,            -0.00000,    -741865984.00000,            -0.00000,    -742506048.00000,      -6732224.00000,            -0.91000
    1, 01/06/1995,     436533280.00000,             0.00000,             0.00000,     295990944.00000,     732524224.00000,      -2836733.25000,            -0.00000,    -729690496.00000,            -0.00000,    -732527232.00000,         -3008.00000,            -0.00000
    1, 01/06/1995,     414437728.00000,             0.00000,             0.00000,     278966816.00000,     693404544.00000,       -415183.96875,            -0.00000,    -697852288.00000,            -0.00000,    -698267456.00000,      -4862912.00000,            -0.70000
    1, 01/06/1995,     392884416.00000,             0.00000,             0.00000,     300351840.00000,     693236224.00000,      -1633008.25000,            -0.00000,    -692811264.00000,            -0.00000,    -694444288.00000,      -1208064.00000,            -0.17000
    1, 01/06/1995,     374975424.00000,             0.00000,             0.00000,     290721344.00000,     665696768.00000,      -1991175.12500,            -0.00000,    -663704512.00000,            -0.00000,    -665695680.00000,          1088.00000,             0.00000
    1, 01/06/1995,     358306240.00000,             0.00000,             0.00000,     299307104.00000,     657613312.00000,      -1024198.75000,            -0.00000,    -660865600.00000,            -0.00000,    -661889792.00000,      -4276480.00000,            -0.65000
    1, 01/06/1995,     342356768.00000,             0.00000,             0.00000,     301216704.00000,     643573504.00000,      -1032910.43750,            -0.00000,    -646815936.00000,            -0.00000,    -647848832.00000,      -4275328.00000,            -0.66000
    1, 01/06/1995,     327823872.00000,             0.00000,             0.00000,     304624448.00000,     632448320.00000,      -2232428.25000,            -0.00000,    -631399296.00000,            -0.00000,    -633631744.00000,      -1183424.00000,            -0.19000
    1, 01/06/1995,     316327648.00000,             0.00000,             0.00000,     307567872.00000,     623895552.00000,       -790051.56250,            -0.00000,    -626768640.00000,            -0.00000,    -627558720.00000,      -3663168.00000,            -0.59000
    1, 01/06/1995,     303830784.00000,             0.00000,             0.00000,     309908416.00000,     613739200.00000,      -1843874.75000,            -0.00000,    -611888384.00000,            -0.00000,    -613732288.00000,          6912.00000,             0.00000
    1, 01/06/1995,     293208640.00000,             0.00000,             0.00000,     313138048.00000,     606346688.00000,      -2293765.25000,            -0.00000,    -608597248.00000,            -0.00000,    -610891008.00000,      -4544320.00000,            -0.75000
    1, 01/06/1995,     283819744.00000,             0.00000,             0.00000,     315199072.00000,     599018816.00000,      -1499848.25000,            -0.00000,    -599100160.00000,            -0.00000,    -600600000.00000,      -1581184.00000,            -0.26000
    1, 01/06/1995,     274986080.00000,             0.00000,             0.00000,     314551584.00000,     589537664.00000,      -1113452.50000,            -0.00000,    -589789248.00000,            -0.00000,    -590902720.00000,      -1365056.00000,            -0.23000
    1, 01/06/1995,     265747248.00000,             0.00000,             0.00000,     318277600.00000,     584024832.00000,      -2748632.75000,            -0.00000,    -582608512.00000,            -0.00000,    -585357120.00000,      -1332288.00000,            -0.23000
    1, 01/06/1995,     259613648.00000,             0.00000,             0.00000,     314525472.00000,     574139136.00000,      -1049733.75000,            -0.00000,    -573318080.00000,            -0.00000,    -574367808.00000,       -228672.00000,            -0.04000
    1, 01/06/1995,     251225568.00000,             0.00000,             0.00000,     316496608.00000,     567722176.00000,      -1600447.50000,            -0.00000,    -567374784.00000,            -0.00000,    -568975232.00000,      -1253056.00000,            -0.22000
    1, 01/06/1995,     244351808.00000,             0.00000,             0.00000,     319282208.00000,     563634048.00000,      -2349968.00000,            -0.00000,    -564028160.00000,            -0.00000,    -566378112.00000,      -2744064.00000,            -0.49000
    1, 01/06/1995,     238438432.00000,             0.00000,             0.00000,     316705920.00000,     555144320.00000,      -1477392.37500,            -0.00000,    -553994240.00000,            -0.00000,    -555471616.00000,       -327296.00000,            -0.06000
    1, 01/06/1995,     232226144.00000,             0.00000,             0.00000,     316782976.00000,     549009152.00000,      -1189917.37500,            -0.00000,    -547811776.00000,            -0.00000,    -549001664.00000,          7488.00000,             0.00000
    1, 01/06/1995,     225460560.00000,             0.00000,             0.00000,     320980800.00000,     546441344.00000,      -2897076.25000,            -0.00000,    -545269632.00000,            -0.00000,    -548166720.00000,      -1725376.00000,            -0.32000
    1, 01/06/1995,     221375168.00000,             0.00000,             0.00000,     317952064.00000,     539327232.00000,       -953003.31250,            -0.00000,    -540525952.00000,            -0.00000,    -541478976.00000,      -2151744.00000,            -0.40000
    1, 01/06/1995,     214910256.00000,             0.00000,             0.00000,     320352704.00000,     535262976.00000,      -1741137.50000,            -0.00000,    -535105280.00000,            -0.00000,    -536846432.00000,      -1583456.00000,            -0.30000
    1, 01/06/1995,     209727808.00000,             0.00000,             0.00000,     321615424.00000,     531343232.00000,      -2175713.75000,            -0.00000,    -529298624.00000,            -0.00000,    -531474336.00000,       -131104.00000,            -0.02000
    1, 01/06/1995,     205452192.00000,             0.00000,             0.00000,     321424096.00000,     526876288.00000,      -1443992.25000,            -0.00000,    -531131456.00000,            -0.00000,    -532575456.00000,      -5699168.00000,            -1.08000
    1, 01/06/1995,     200755472.00000,             0.00000,             0.00000,     322430464.00000,     523185920.00000,      -1110357.37500,            -0.00000,    -522066368.00000,            -0.00000,    -523176736.00000,          9184.00000,             0.00000
    1, 01/06/1995,     195556544.00000,             0.00000,             0.00000,     324978080.00000,     520534624.00000,      -2327083.75000,            -0.00000,    -518207488.00000,            -0.00000,    -520534560.00000,            64.00000,             0.00000
    1, 01/06/1995,     192444336.00000,             0.00000,             0.00000,     320896032.00000,     513340352.00000,       -889352.18750,            -0.00000,    -512485344.00000,            -0.00000,    -513374688.00000,        -34336.00000,            -0.01000
    1, 01/06/1995,     187501792.00000,             0.00000,             0.00000,     323761888.00000,     511263680.00000,      -1326269.62500,            -0.00000,    -511027392.00000,            -0.00000,    -512353664.00000,      -1089984.00000,            -0.21000
    1, 01/06/1995,     183427696.00000,             0.00000,             0.00000,     326381600.00000,     509809280.00000,      -2181290.75000,            -0.00000,    -507633600.00000,            -0.00000,    -509814880.00000,         -5600.00000,            -0.00000
    1, 01/06/1995,     180313712.00000,             0.00000,             0.00000,     325439680.00000,     505753408.00000,      -1377132.75000,            -0.00000,    -504363200.00000,            -0.00000,    -505740320.00000,         13088.00000,             0.00000
    1, 01/06/1995,     176769776.00000,             0.00000,             0.00000,     322847584.00000,     499617344.00000,      -1066377.25000,            -0.00000,    -502797568.00000,            -0.00000,    -503863936.00000,      -4246592.00000,            -0.85000
    1, 01/06/1995,     172362912.00000,             0.00000,             0.00000,     329387776.00000,     501750688.00000,      -2811387.50000,            -0.00000,    -498939328.00000,            -0.00000,    -501750720.00000,           -32.00000,            -0.00000
    1, 01/06/1995,     170381008.00000,             0.00000,             0.00000,     325611328.00000,     495992320.00000,       -987206.18750,            -0.00000,    -495011136.00000,            -0.00000,    -495998336.00000,         -6016.00000,            -0.00000
    1, 01/06/1995,     166202656.00000,             0.00000,             0.00000,     329099904.00000,     495302560.00000,      -1686466.25000,            -0.00000,    -494419264.00000,            -0.00000,    -496105728.00000,       -803168.00000,            -0.16000
    1, 01/06/1995,     162894752.00000,             0.00000,             0.00000,     330415520.00000,     493310272.00000,      -2517285.50000,            -0.00000,    -495974016.00000,            -0.00000,    -498491296.00000,      -5181024.00000,            -1.04000
    1, 01/06/1995,     160325984.00000,             0.00000,             0.00000,     331447552.00000,     491773536.00000,      -1474193.25000,            -0.00000,    -492051520.00000,            -0.00000,    -493525728.00000,      -1752192.00000,            -0.36000
    1, 01/06/1995,     157373536.00000,             0.00000,             0.00000,     330582208.00000,     487955744.00000,      -1132129.87500,            -0.00000,    -487289056.00000,            -0.00000,    -488421184.00000,       -465440.00000,            -0.10000
    1, 01/06/1995,     153790912.00000,             0.00000,             0.00000,     335352096.00000,     489143008.00000,      -2659136.25000,            -0.00000,    -487505216.00000,            -0.00000,    -490164352.00000,      -1021344.00000,            -0.21000
    1, 01/06/1995,     152432896.00000,             0.00000,             0.00000,     328596704.00000,     481029600.00000,       -904460.56250,            -0.00000,    -480111872.00000,            -0.00000,    -481016320.00000,         13280.00000,             0.00000
    1, 01/06/1995,     148953232.00000,             0.00000,             0.00000,     333205504.00000,     482158720.00000,      -1442181.87500,            -0.00000,    -480732128.00000,            -0.00000,    -482174304.00000,        -15584.00000,            -0.00000
    1, 01/06/1995,     146663504.00000,             0.00000,             0.00000,     333500800.00000,     480164288.00000,      -2113290.50000,            -0.00000,    -479182912.00000,            -0.00000,    -481296192.00000,      -1131904.00000,            -0.24000
    1, 01/06/1995,     144933824.00000,             0.00000,             0.00000,     333840384.00000,     478774208.00000,      -1379646.62500,            -0.00000,    -477398080.00000,            -0.00000,    -478777728.00000,         -3520.00000,            -0.00000
    1, 01/06/1995,     142751744.00000,             0.00000,             0.00000,     330478752.00000,     473230496.00000,      -1000172.37500,            -0.00000,    -472220160.00000,            -0.00000,    -473220320.00000,         10176.00000,             0.00000
    1, 01/06/1995,     139560752.00000,             0.00000,             0.00000,     336734560.00000,     476295296.00000,      -2551330.00000,            -0.00000,    -478213792.00000,            -0.00000,    -480765120.00000,      -4469824.00000,            -0.93000
    1, 01/06/1995,     138822448.00000,             0.00000,             0.00000,     331720160.00000,     470542592.00000,       -812388.87500,            -0.00000,    -469728640.00000,            -0.00000,    -470541024.00000,          1568.00000,             0.00000
    1, 01/06/1995,     135721776.00000,             0.00000,             0.00000,     334711808.00000,     470433600.00000,      -1416084.62500,            -0.00000,    -469038528.00000,            -0.00000,    -470454624.00000,        -21024.00000,            -0.00000
    1, 01/06/1995,     133760360.00000,             0.00000,             0.00000,     333941888.00000,     467702240.00000,      -2179071.00000,            -0.00000,    -467312704.00000,            -0.00000,    -469491776.00000,      -1789536.00000,            -0.38000
    1, 01/06/1995,     132383320.00000,             0.00000,             0.00000,     333600320.00000,     465983648.00000,      -1214118.87500,            -0.00000,    -464765408.00000,            -0.00000,    -465979520.00000,          4128.00000,             0.00000
